Type,Name,Attractiveness,budget,Intelligence,Minimum_attractiveness_required
1,B399,6,336,99,9
1,B400,2,494,94,3
2,B401,2,781,30,1
3,B402,7,554,71,10
2,B403,6,527,40,5
2,B404,3,255,81,5
1,B405,5,490,80,4
1,B406,3,928,18,9
1,B407,6,568,99,5
3,B408,5,19,40,6
3,B409,5,673,4,5
1,B410,2,539,48,6
2,B411,9,885,52,2
2,B412,10,564,52,1
3,B413,4,569,88,2
1,B414,6,578,86,3
2,B415,7,800,46,9
1,B416,9,415,11,8
2,B417,5,517,75,9
2,B418,3,35,57,6
2,B419,9,143,74,8
3,B420,6,854,24,10
3,B421,3,434,91,4
3,B422,5,677,36,6
2,B423,8,8,37,5
3,B424,6,198,97,3
2,B425,5,540,61,8
2,B426,5,152,6,3
1,B427,7,861,64,5
2,B428,9,298,68,6
2,B429,1,170,19,5
1,B430,7,13,84,10
2,B431,4,913,26,1
1,B432,6,73,67,4
1,B433,9,257,34,5
3,B434,4,114,65,8
2,B435,4,521,18,6
3,B436,5,875,7,1
1,B437,9,260,54,1
1,B438,7,150,33,10
1,B439,10,559,6,3
1,B440,10,139,92,3
2,B441,7,17,60,7
2,B442,8,765,7,8
2,B443,4,840,93,2
1,B444,3,721,55,5
3,B445,10,192,38,10
1,B446,8,56,19,9
3,B447,8,134,61,4
3,B448,10,751,77,7
1,B449,7,478,17,9
1,B450,5,284,47,2
2,B451,8,560,18,2
1,B452,5,421,92,10
2,B453,6,974,16,1
2,B454,8,670,43,4
2,B455,9,694,84,9
2,B456,4,268,52,2
2,B457,10,576,16,6
2,B458,10,23,57,6
1,B459,2,417,44,5
3,B460,3,395,87,9
3,B461,6,226,81,7
1,B462,8,474,52,10
3,B463,3,184,42,9
1,B464,5,752,63,10
1,B465,2,411,8,2
2,B466,2,134,57,8
3,B467,9,342,5,3
1,B468,10,55,49,5
1,B469,2,383,51,10
2,B470,10,826,70,4
1,B471,1,895,63,3
3,B472,9,936,92,4
2,B473,2,181,43,7
1,B474,6,804,30,1
3,B475,3,931,24,3
2,B476,6,135,36,7
2,B477,8,398,76,4
1,B478,1,709,50,6
3,B479,4,426,76,3
2,B480,6,621,80,5
1,B481,4,839,64,3
2,B482,2,365,86,3
3,B483,2,798,78,3
1,B484,6,887,6,4
2,B485,5,38,13,2
1,B486,5,822,54,10
3,B487,2,807,96,1
3,B488,6,168,85,8
3,B489,9,177,28,10
1,B490,10,247,33,7
3,B491,1,543,32,6
1,B492,7,415,7,3
3,B493,8,115,49,2
2,B494,2,751,23,1
3,B495,5,743,91,1
2,B496,8,607,62,9
3,B497,6,712,61,6
2,B498,1,436,31,5
2,B499,9,186,50,2
1,B500,3,86,89,2
3,B501,7,552,71,3
1,B502,6,15,20,4
2,B503,3,726,79,8
1,B504,9,205,3,5
2,B505,3,234,81,8
2,B506,10,93,48,1
2,B507,3,866,38,4
1,B508,9,707,51,10
3,B509,10,406,79,2
2,B510,8,588,95,8
2,B511,7,905,17,3
3,B512,6,141,36,3
1,B513,2,925,99,8
1,B514,9,560,66,6
3,B515,7,925,97,6
2,B516,1,158,72,10
2,B517,4,965,28,9
2,B518,6,329,20,9
3,B519,2,23,12,5
2,B520,8,647,16,9
1,B521,6,157,98,6
3,B522,8,59,19,2
3,B523,10,268,68,5
3,B524,9,619,74,8
2,B525,9,880,14,10
2,B526,7,65,20,9
1,B527,8,571,22,3
1,B528,2,9,19,9
1,B529,5,437,91,3
1,B530,6,270,9,4
3,B531,5,825,80,1
1,B532,5,830,77,3
2,B533,3,51,94,9
3,B534,5,713,7,4
2,B535,8,942,16,2
1,B536,7,599,58,1
1,B537,4,562,44,10
2,B538,1,4,75,5
1,B539,3,49,31,2
3,B540,4,88,44,7
1,B541,7,701,73,9
2,B542,9,353,67,4
3,B543,9,951,74,10
2,B544,10,643,47,7
1,B545,6,845,26,9
1,B546,3,986,38,8
1,B547,4,306,28,6
2,B548,7,760,92,5
1,B549,2,648,44,5
3,B550,9,948,30,4
3,B551,9,180,92,2
2,B552,1,700,92,3
1,B553,7,183,14,4
2,B554,7,542,15,2
1,B555,2,19,54,2
3,B556,3,946,18,1
1,B557,9,429,58,5
1,B558,3,675,36,5
1,B559,10,175,98,2
1,B560,2,195,7,2
3,B561,7,484,97,1
1,B562,5,329,97,8
2,B563,2,536,48,1
1,B564,8,379,55,2
1,B565,2,459,43,6
2,B566,3,237,67,6
3,B567,5,884,32,7
3,B568,9,769,1,8
2,B569,3,266,85,1
1,B570,1,293,89,1
3,B571,4,381,46,6
3,B572,9,545,39,5
2,B573,4,15,50,10
3,B574,1,937,93,7
1,B575,3,151,10,3
2,B576,8,666,68,1
2,B577,5,849,66,10
3,B578,5,975,91,4
2,B579,1,495,86,10
1,B580,8,471,88,6
1,B581,2,378,100,3
2,B582,4,146,10,3
2,B583,6,472,92,2
3,B584,8,573,58,8
3,B585,7,627,18,8
1,B586,2,190,36,2
2,B587,3,624,28,10
3,B588,10,807,1,5
1,B589,2,72,67,3
1,B590,7,233,68,3
3,B591,10,545,99,10
1,B592,5,729,89,2
2,B593,9,787,52,2
3,B594,1,313,96,6
2,B595,3,594,46,8
3,B596,4,167,38,10
2,B597,3,924,64,10
2,B598,6,190,9,3
1,B599,8,132,82,10
1,B600,6,272,35,6
2,B601,7,871,30,2
2,B602,7,468,15,10
1,B603,5,921,48,10
3,B604,8,732,92,7
2,B605,3,807,20,3
3,B606,8,448,77,3
2,B607,1,727,29,7
3,B608,2,407,65,2
3,B609,7,831,39,4
2,B610,8,172,81,2
1,B611,1,26,76,3
3,B612,6,17,83,5
3,B613,10,360,82,9
1,B614,7,287,38,1
3,B615,8,65,5,7
2,B616,1,316,65,8
2,B617,4,197,12,2
3,B618,10,333,59,10
1,B619,9,200,90,4
3,B620,3,457,89,1
2,B621,4,347,10,10
1,B622,9,680,5,9
3,B623,6,675,85,4
2,B624,2,854,54,6
2,B625,2,948,58,10
2,B626,9,714,10,7
2,B627,1,979,62,6
3,B628,5,767,38,2
1,B629,5,547,31,10
2,B630,9,321,36,5
2,B631,7,153,10,9
2,B632,3,704,8,2
3,B633,2,267,18,1
2,B634,1,629,24,4
2,B635,8,745,76,3
1,B636,9,404,99,9
2,B637,3,321,42,8
2,B638,5,512,72,5
3,B639,10,145,23,6
1,B640,10,726,30,4
1,B641,7,497,16,10
2,B642,5,458,92,8
1,B643,2,143,30,9
3,B644,6,233,9,5
3,B645,1,597,52,5
2,B646,1,80,54,1
3,B647,7,761,61,1
1,B648,4,605,62,9
3,B649,2,49,64,9
1,B650,10,809,52,2
1,B651,3,494,50,3
2,B652,4,49,100,2
1,B653,7,514,44,9
3,B654,8,564,90,7
2,B655,7,202,100,2
1,B656,6,39,49,6
2,B657,7,701,63,5
1,B658,10,936,14,4
3,B659,2,424,39,6
1,B660,5,184,66,7
3,B661,4,700,73,5
3,B662,8,73,49,6
2,B663,8,689,68,3
1,B664,10,4,5,10
2,B665,8,572,46,5
3,B666,9,524,38,3
1,B667,8,761,79,9
1,B668,6,990,32,4
3,B669,9,899,76,7
2,B670,6,679,84,4
2,B671,5,106,12,1
3,B672,2,442,4,1
3,B673,4,869,29,10
2,B674,7,952,92,10
2,B675,8,17,60,1
1,B676,7,595,9,3
2,B677,4,38,23,6
1,B678,2,168,24,1
3,B679,9,436,14,2
2,B680,2,229,60,3
1,B681,9,739,69,9
2,B682,7,788,27,4
3,B683,8,46,94,6
2,B684,9,580,28,3
3,B685,8,42,59,4
1,B686,1,607,88,4
1,B687,2,314,32,3
1,B688,1,351,3,10
3,B689,1,424,94,5
2,B690,6,319,14,2
3,B691,5,428,46,9
3,B692,9,293,20,2
1,B693,1,682,75,3
2,B694,2,858,42,10
3,B695,1,342,72,4
2,B696,3,529,14,9
1,B697,6,620,65,3
2,B698,10,261,43,4
3,B699,7,326,41,5
3,B700,9,404,63,2
1,B701,8,214,25,1
3,B702,7,201,48,7
2,B703,2,901,53,4
3,B704,1,840,99,9
1,B705,1,270,78,10
1,B706,5,825,76,1
2,B707,2,323,25,1
2,B708,5,156,5,4
1,B709,8,615,55,8
1,B710,9,172,70,7
3,B711,1,776,27,4
2,B712,8,424,100,9
3,B713,4,415,3,9
3,B714,2,955,20,2
3,B715,6,412,42,6
2,B716,9,575,36,1
1,B717,1,398,84,1
1,B718,6,535,10,9
2,B719,10,767,70,9
3,B720,1,843,43,4
3,B721,9,483,19,1
3,B722,9,923,20,2
3,B723,9,379,42,4
1,B724,9,562,31,1
3,B725,7,370,99,10
3,B726,1,841,57,6
3,B727,7,965,78,6
1,B728,9,699,62,4
3,B729,4,209,63,5
3,B730,2,107,64,3
2,B731,9,635,34,5
1,B732,9,364,24,9
2,B733,6,608,55,7
2,B734,2,872,89,6
2,B735,1,424,68,1
3,B736,4,683,10,4
1,B737,2,879,60,7
1,B738,7,193,69,2
3,B739,2,4,22,8
3,B740,8,542,16,3
3,B741,3,74,89,1
1,B742,1,335,55,2
2,B743,7,63,88,9
1,B744,9,418,81,1
2,B745,7,737,51,10
2,B746,8,202,18,1
1,B747,1,133,40,8
2,B748,2,996,71,4
1,B749,8,547,63,1
2,B750,3,904,72,5
2,B751,8,772,100,8
1,B752,10,303,82,4
1,B753,2,89,27,3
1,B754,8,511,69,10
1,B755,3,473,48,4
1,B756,5,787,67,7
3,B757,4,271,82,3
1,B758,2,145,21,7
1,B759,10,785,99,5
1,B760,1,413,77,7
2,B761,2,901,29,2
1,B762,9,132,57,8
1,B763,4,972,65,6
3,B764,3,1000,4,5
2,B765,1,861,88,7
2,B766,6,795,89,3
1,B767,9,269,67,2
2,B768,3,920,46,6
2,B769,7,838,39,6
2,B770,2,835,31,4
3,B771,3,213,30,8
1,B772,5,791,58,1
2,B773,9,358,79,2
2,B774,2,621,67,10
1,B775,7,206,49,3
1,B776,1,990,88,5
1,B777,10,93,32,6
1,B778,9,613,50,7
1,B779,9,708,66,9
3,B780,7,321,19,3
2,B781,10,933,84,8
1,B782,2,949,34,10
2,B783,6,398,76,8
3,B784,9,663,76,6
2,B785,4,461,21,2
2,B786,4,281,53,8
1,B787,2,555,60,5
3,B788,4,292,48,5
1,B789,5,446,100,4
2,B790,3,351,15,10
2,B791,10,88,42,3
2,B792,1,340,21,10
3,B793,3,766,83,6
3,B794,8,634,85,5
3,B795,8,918,91,3
2,B796,2,734,81,7
3,B797,9,704,25,2
2,B798,6,523,6,2
2,B799,2,305,57,7
1,B800,6,251,54,3
2,B801,8,910,81,3
2,B802,10,573,41,1
2,B803,1,332,78,8
2,B804,8,114,67,5
1,B805,1,933,41,3
2,B806,3,659,67,1
1,B807,9,889,58,10
2,B808,2,833,89,8
2,B809,10,839,70,1
3,B810,10,560,52,6
1,B811,7,261,16,4
1,B812,10,905,55,1
3,B813,4,983,42,8
3,B814,7,626,33,3
3,B815,1,785,57,9
1,B816,7,238,84,3
1,B817,3,333,29,5
2,B818,2,43,47,7
3,B819,8,292,89,3
1,B820,7,553,50,2
2,B821,9,834,64,7
1,B822,6,286,22,9
3,B823,7,692,39,9
2,B824,6,676,23,2
3,B825,9,918,83,2
3,B826,8,122,94,8
3,B827,8,228,79,1
2,B828,9,281,84,7
1,B829,1,614,55,10
3,B830,4,102,35,2
3,B831,2,984,34,8
1,B832,5,88,47,10
3,B833,4,346,57,7
3,B834,4,289,53,9
3,B835,9,52,66,7
3,B836,2,499,63,3
3,B837,9,43,5,7
3,B838,3,949,42,7
3,B839,7,308,96,4
1,B840,5,926,35,2
1,B841,9,835,82,2
3,B842,10,791,48,7
2,B843,8,325,56,9
1,B844,5,88,91,1
3,B845,4,805,55,1
1,B846,6,20,11,1
1,B847,7,633,27,7
3,B848,9,569,6,3
1,B849,8,452,60,4
2,B850,1,379,45,1
3,B851,10,680,24,5
2,B852,6,639,76,3
1,B853,7,928,84,3
1,B854,3,51,82,3
2,B855,9,522,94,5
1,B856,9,128,69,9
3,B857,6,867,72,5
2,B858,1,433,6,4
1,B859,10,618,54,10
1,B860,3,566,13,9
2,B861,9,210,80,3
1,B862,10,712,77,3
3,B863,1,414,14,3
3,B864,6,82,76,9
1,B865,7,552,80,1
1,B866,8,613,49,8
2,B867,2,817,17,4
1,B868,3,726,14,10
1,B869,7,901,86,1
3,B870,10,45,8,2
1,B871,7,906,93,3
1,B872,1,123,14,5
3,B873,10,765,32,4
2,B874,6,557,69,4
2,B875,4,142,39,5
3,B876,1,538,87,10
3,B877,5,588,13,7
3,B878,5,406,59,2
2,B879,10,801,31,4
3,B880,3,275,75,6
3,B881,7,150,33,7
1,B882,7,3,89,1
3,B883,8,587,73,5
3,B884,5,960,36,6
3,B885,1,131,7,9
2,B886,4,985,59,9
2,B887,1,974,79,2
3,B888,6,613,27,7
1,B889,6,848,71,3
1,B890,1,873,6,4
1,B891,1,869,16,6
1,B892,6,583,9,2
1,B893,5,529,89,2
1,B894,5,140,10,5
1,B895,9,286,61,10
3,B896,9,229,74,8
1,B897,7,819,68,1
3,B898,5,315,22,10
3,B899,8,808,36,10
2,B900,3,383,96,1
1,B901,9,975,7,2
2,B902,8,473,29,6
2,B903,1,416,51,1
1,B904,7,985,19,9
1,B905,1,993,46,7
3,B906,10,288,77,6
1,B907,3,263,12,8
3,B908,6,924,91,8
3,B909,8,600,18,8
1,B910,2,573,70,9
1,B911,3,719,95,8
1,B912,9,441,67,8
2,B913,9,950,33,9
1,B914,10,472,71,7
2,B915,4,922,39,5
3,B916,3,10,65,2
3,B917,4,536,16,9
1,B918,3,572,58,7
2,B919,9,836,86,10
1,B920,3,935,13,6
3,B921,10,16,94,2
2,B922,5,439,13,9
1,B923,10,127,48,2
1,B924,9,873,98,5
3,B925,10,734,90,5
3,B926,10,518,53,5
3,B927,10,989,24,3
1,B928,1,119,16,2
2,B929,1,343,9,9
3,B930,2,944,72,8
1,B931,10,164,31,8
3,B932,5,354,73,4
2,B933,8,108,34,3
1,B934,5,669,38,7
1,B935,10,474,97,1
3,B936,3,839,30,6
3,B937,8,499,39,8
3,B938,5,282,62,3
2,B939,8,241,21,5
1,B940,3,992,90,4
3,B941,2,188,68,5
1,B942,1,444,26,7
2,B943,6,717,65,1
2,B944,9,903,17,7
1,B945,8,314,27,1
2,B946,7,86,17,3
2,B947,10,728,3,2
1,B948,10,592,8,6
1,B949,1,554,85,5
2,B950,2,825,14,4
2,B951,1,655,84,7
1,B952,1,825,25,10
1,B953,10,337,84,5
3,B954,7,943,33,7
1,B955,6,646,19,7
3,B956,2,665,46,10
2,B957,1,390,34,3
3,B958,1,235,78,2
3,B959,7,151,2,2
1,B960,8,882,83,7
2,B961,7,71,26,6
2,B962,8,584,10,4
1,B963,1,753,5,3
1,B964,8,84,5,8
3,B965,1,665,81,9
2,B966,7,836,14,9
3,B967,6,428,83,9
2,B968,1,127,30,4
3,B969,7,408,60,8
3,B970,1,897,77,5
3,B971,1,930,51,4
1,B972,5,404,14,9
1,B973,8,492,88,4
2,B974,5,719,58,2
2,B975,6,231,19,5
1,B976,9,896,25,6
3,B977,4,477,56,6
1,B978,5,257,34,6
2,B979,2,426,21,2
2,B980,2,446,63,9
2,B981,8,910,60,2
2,B982,3,827,51,9
1,B983,1,788,40,8
3,B984,9,264,90,3
3,B985,8,510,70,1
1,B986,1,804,48,8
2,B987,8,366,97,2
2,B988,5,850,55,9
2,B989,3,893,67,2
3,B990,7,406,38,1
3,B991,2,312,50,9
3,B992,5,587,18,2
1,B993,5,185,63,3
2,B994,6,567,46,10
3,B995,8,940,55,6
3,B996,10,128,12,1
2,B997,1,985,62,4
3,B998,10,594,62,9
1,B999,9,666,1,2
1,B1000,10,982,7,1
